poleNo,brand,model,material,type,colour,gender,eyeSize,bridgeSize,sideLength,barcode,patientSideLength,patientFaceWidth,isSunglass,vari,FaceShapes,AgeKeywords,View,Front,Side
20G,Penguin,Paulie,Metal,Fullrim,Black,Male,49,18,135,505478142650,SmallSL,SmallPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/20G1.jpg,/Images/FrameImages/20G2.jpg,/Images/FrameImages/20G3.jpg
20H,Penguin,Baker,Plastic,Fullrim,Blue,Male,55,18,145,505478142650,LargeSL,MediumPD,0,1,Oval Rectangular,Modern Traditional,/Images/FrameImages/20H1.jpg,/Images/FrameImages/20H2.jpg,/Images/FrameImages/20H3.jpg
20I,Penguin,Carmichael,Plastic,Fullrim,Blue,Male,52,19,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/20I1.jpg,/Images/FrameImages/20I2.jpg,/Images/FrameImages/20I3.jpg
20K,Davidoff,97124,Plastic,Fullrim,Black,Male,53,19,135,505478142650,SmallSL,MediumPD,1,1,Oval Round,Modern Traditional,/Images/FrameImages/20K1.jpg,/Images/FrameImages/20K2.jpg,/Images/FrameImages/20K3.jpg
20L,Davidoff,97125,Plastic,Fullrim,Black,Male,53,20,135,505478142650,SmallSL,MediumPD,1,1,Oval Round,Modern Traditional,/Images/FrameImages/20L1.jpg,/Images/FrameImages/20L2.jpg,/Images/FrameImages/20L3.jpg
20M,Davidoff,97332,Metal,Fullrim,Silver,Male,61,16,135,505478142650,SmallSL,LargePD,1,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/20M1.jpg,/Images/FrameImages/20M2.jpg,/Images/FrameImages/20M3.jpg
20N,Davidoff,97336,Metal,Fullrim,Black,Male,59,17,135,505478142650,SmallSL,LargePD,1,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/20N1.jpg,/Images/FrameImages/20N2.jpg,/Images/FrameImages/20N3.jpg
20O,Davidoff,L2122,Metal,Fullrim,Blue,Male,52,18,135,505478142650,SmallSL,MediumPD,1,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/20O1.jpg,/Images/FrameImages/20O2.jpg,/Images/FrameImages/20O3.jpg
20P,Davidoff,L2139,Plastic,Fullrim,Black,Male,53,19,140,505478142650,MediumSL,MediumPD,1,1,Oval Square,Modern Traditional,/Images/FrameImages/20P1.jpg,/Images/FrameImages/20P2.jpg,/Images/FrameImages/20P3.jpg
20Q,Davidoff,L2156,Plastic,Fullrim,Silver,Male,54,16,146,505478142650,LargeSL,MediumPD,1,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/20Q1.jpg,/Images/FrameImages/20Q2.jpg,/Images/FrameImages/20Q3.jpg
20R,Davidoff,PWM035,Plastic,Fullrim,Brown,Male,56,16,145,505478142650,LargeSL,MediumPD,1,1,Oval Round,Modern Traditional,/Images/FrameImages/20R1.jpg,/Images/FrameImages/20R2.jpg,/Images/FrameImages/20R3.jpg
21A,Davidoff,99304,Metal,Supra,Black,Male,55,18,140,505478142650,MediumSL,MediumPD,0,1,Oval Rectangular,Modern,/Images/FrameImages/21A1.jpg,/Images/FrameImages/21A2.jpg,/Images/FrameImages/21A3.jpg
21B,Davidoff,93050,Metal,Fullrim,Gun,Male,52,17,140,505478142650,MediumSL,MediumPD,0,1,Oval Rectangular,Modern Traditional,/Images/FrameImages/21B1.jpg,/Images/FrameImages/21B2.jpg,/Images/FrameImages/21B3.jpg
21C,Davidoff,93046,Metal,Fullrim,Bronze,Male,56,16,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/21C1.jpg,/Images/FrameImages/21C2.jpg,/Images/FrameImages/21C3.jpg
21D,Davidoff,95110,Metal,Fullrim,Black,Male,57,16,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/21D1.jpg,/Images/FrameImages/21D2.jpg,/Images/FrameImages/21D3.jpg
21E,Davidoff,95117,Metal,Fullrim,Black,Male,55,16,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/21E1.jpg,/Images/FrameImages/21E2.jpg,/Images/FrameImages/21E3.jpg
21F,Davidoff,95105,Metal,Fullrim,Black,Male,55,18,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern,/Images/FrameImages/21F1.jpg,/Images/FrameImages/21F2.jpg,/Images/FrameImages/21F3.jpg
21G,Davidoff,93040,Metal,Fullrim,Black,Male,56,17,140,505478142650,MediumSL,MediumPD,0,1,Oval Square,Modern Traditional,/Images/FrameImages/21G1.jpg,/Images/FrameImages/21G2.jpg,/Images/FrameImages/21G3.jpg
21H,Davidoff,91021,Plastic,Fullrim,Tort,Male,52,16,140,505478142650,MediumSL,MediumPD,0,1,Oval Square,Modern Traditional,/Images/FrameImages/21H1.jpg,/Images/FrameImages/21H2.jpg,/Images/FrameImages/21H3.jpg
21I,Davidoff,99305-310,Metal,Fullrim,Navy,Male,55,16,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/21I1.jpg,/Images/FrameImages/21I2.jpg,/Images/FrameImages/21I3.jpg
21K,Peter Werth,PW009,Plastic,Fullrim,Black,Male,53,19,140,505478142650,MediumSL,MediumPD,0,0,Oval Rectangular,Modern,/Images/FrameImages/21K1.jpg,/Images/FrameImages/21K2.jpg,/Images/FrameImages/21K3.jpg
21L,Peter Werth,PW010,Metal,Fullrim,Gun,Male,58,18,145,505478142650,LargeSL,LargePD,0,1,Oval Rectangular,Modern Traditional,/Images/FrameImages/21L1.jpg,/Images/FrameImages/21L2.jpg,/Images/FrameImages/21L3.jpg
21M,Peter Werth,PW008,Plastic,Fullrim,Gray,Male,60,15,140,505478142650,MediumSL,LargePD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/21M1.jpg,/Images/FrameImages/21M2.jpg,/Images/FrameImages/21M3.jpg
21N,Peter Werth,PW011,Metal,Fullrim,Black,Male,55,18,145,505478142650,LargeSL,MediumPD,0,1,Oval Rectangular,Modern Traditional,/Images/FrameImages/21N1.jpg,/Images/FrameImages/21N2.jpg,/Images/FrameImages/21N3.jpg
21O,Peter Werth,PW014,Plastic,Fullrim,Black,Male,53,19,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/21O1.jpg,/Images/FrameImages/21O2.jpg,/Images/FrameImages/21O3.jpg
21P,Peter Werth,PW012,Metal,Fullrim,Black,Male,58,18,140,505478142650,MediumSL,LargePD,0,1,Oval Round Rectangular,Modern,/Images/FrameImages/21P1.jpg,/Images/FrameImages/21P2.jpg,/Images/FrameImages/21P3.jpg
21Q,Peter Werth,PW013,Metal,Supra,Gun,Male,60,15,140,505478142650,MediumSL,LargePD,0,0,Oval Round Rectangular,Modern,/Images/FrameImages/21Q1.jpg,/Images/FrameImages/21Q2.jpg,/Images/FrameImages/21Q3.jpg
21R,Peter Werth,PW014,Plastic,Fullrim,Tort,Male,55,18,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern,/Images/FrameImages/21R1.jpg,/Images/FrameImages/21R2.jpg,/Images/FrameImages/21R3.jpg
22A,Stepper,SI-4111,Titanium,Fullrim,Silver,Male,58,17,140,505478142650,MediumSL,LargePD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/22A1.jpg,/Images/FrameImages/22A2.jpg,/Images/FrameImages/22A3.jpg
22B,Stepper,SI-20027,Plastic,Fullrim,Tort,Male,56,15,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/22B1.jpg,/Images/FrameImages/22B2.jpg,/Images/FrameImages/22B3.jpg
22C,Stepper,SI-4009,Titanium,Fullrim,Gold,Male,54,16,135,505478142650,SmallSL,MediumPD,0,1,Oval Round,Traditional,/Images/FrameImages/22C1.jpg,/Images/FrameImages/22C2.jpg,/Images/FrameImages/22C3.jpg
